Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),,,,,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
12/10/19,2,1779.999898,121.0599399,,,,,,,,,,0.503778828,0.850006342,0.288136095,301,,,,,68008307,,,,,,
12/11/19,80,1984.479889,4776.533144,28,28,,,,,,,,0.894461051,9.600000381,0.25899744,7259,,,,,51677684,2885597,,,,,
12/12/19,32,1873.519058,1922.045164,4,4,,,,,,,,0.703870909,8.296431541,0.253398955,3227,,,,,84427163,669357,287394,,,,
12/13/19,92,2061.829419,5355.529678,41,41,,,,,,,,1.240127615,24.31999969,0.272186249,8184,,,,,79504725,2839291,489553,,,,
12/14/19,23,1814.507301,1166.36583,,,,,,,,,,0.872731068,17.16783142,0.172908172,2162,,,,,84356423,488058,,,,,
12/15/19,6,1785.95702,619.5231386,,,,,,,,,,0.885204123,4.201805115,0.259432256,1422,,,,,86315745,84255,,,,,
12/16/19,75,1985.071617,4678.972884,32,32,,,,,,,,0.70920676,14.47000027,0.262748927,7124,,,,,78847781,2874784,,,,,
12/17/19,51,1852.036089,2373.508092,1,1,,,,,,,,0.634567585,2.837507725,0.247384831,4136,,,,,85260771,1017516,,,,,
12/18/19,52,1883.541159,2566.146332,2,2,,,,,,,,1.092964891,16.95840263,0.256026119,3950,,,,,81430152,1044766,185090,,,,
12/19/19,61,1876.054364,2976.878331,2,2,,,,,,,,0.689601087,3.422340393,0.252195865,5450,,,,,83762935,1358553,,,,,
12/20/19,69,1975.901727,4122.343819,14,14,,,,,,,,0.776032917,21.25048637,0.258836627,6400,,,,,80922451,2763737,,,,,
12/21/19,32,1840.624653,1725.153461,1,1,,,,,,,,1.034146453,14.82967377,0.250252068,3376,,,,,84449580,857449,,,,,
12/22/19,10,1791.313271,624.3067684,,,,,,,,,,0.7930026,1.828374624,0.255254775,1266,,,,,86239988,160012,,,,,
12/23/19,78,2022.292487,4945.541891,27,27,,,,,,,,1.086916028,21.85676003,0.245349556,7141,,,,,76602235,3219355,,,,,
12/24/19,2,1784.500994,264.5457563,,,,,,,,,,0.568132795,2.100123405,0.258565664,871,,,,,86336339,63661,,,,,
12/25/19,8,1779.999924,695.1914208,,,,,,,,,,0.553935139,2.631340742,0.248167336,1585,,,,,86400000,,,,,,
12/26/19,75,1954.769792,4661.291355,23,23,,,,,,,,0.761940988,18.15999985,0.250581741,6594,,,,,80319308,2301992,61056,,,,
12/27/19,59,1894.365609,3414.222458,4,2,,,,,,,,1.005442913,16.56877518,0.247150525,5646,,,,,81318780,1616188,,,,,
12/28/19,25,2565.623065,1622.654672,1,1,80,80,80,,,,,0.80300266,2.909641743,0.010867979,2622,,,,,76617245,7849550,1440000,,,,
12/29/19,34,2211.32944,2381.555268,4,4,,,,,,,,0.838623136,3.031246185,0.012111112,4035,,,,,80270303,6100525,,,,,
12/30/19,112,2716.081413,6181.374052,3,3,,,,,,,,0.906773992,8.055352211,0,8900,,,,,62843617,11444918,4260000,6840000,,,
12/31/19,3,2158.989291,952.0739802,,,61,61,61,,,,,0.616869764,2.885940313,0.00634058,1879,,,,,54060000,7620000,240000,24480000,,,
1/1/20,19,2389.610571,1813.360333,,,52,52,52,,,,,0.584736737,3.872897625,0.006666667,2982,,,,,47819880,6900120,2160000,29520000,,,
1/2/20,20,1956.381527,1504.640694,,,,,,,,,,0.637334213,2.458173752,0,2712,,,,,49680000,8580000,1320000,26820000,,,
1/3/20,35,2256.639776,1888.360689,,,73,73,73,,,,,1.044635948,2.680000067,0.014242425,3433,,,,,47953068,5386932,600000,29940000,1380000,1140000,
1/4/20,9,1765.8884,607.2108269,,,53.64715719,78,47,,,,,0.627829825,4.166184425,0,1190,,,,,39648109,1391891,,39480000,5880000,,
1/5/20,16,2109.257241,1776.516905,4,4,58.712,80,50,,,,,0.615624786,4.039999962,0.01808943,2805,,,,,49132273,6247727,,28080000,2280000,660000,
1/6/20,47,2391.331041,2953.92053,2,2,,,,,,,,0.826639173,19.29410362,0.01009009,4705,,,,,76483183,8424902,98114,,,,
1/7/20,29,2348.14384,2292.641205,,,60.61333333,112,49,,,,,0.69579755,4.909473896,0.001360544,3720,,,,,44758819,12661181,,24480000,4500000,,
1/8/20,32,1725.690288,2973.274136,,,58.49649123,118,47,,,,,0.793762544,16.23129654,0,3685,,,,,40335728,7474526,960000,,25800000,9660000,960000
1/9/20,22,2320.322326,1563.063978,,,,,,,,,,0.922925241,6.754678726,0.0055,2376,,,,,44700000,7320000,2040000,32340000,,,
1/10/20,14,2402.04312,798.7415063,,,60,62,58,,,,,0.707780748,4.85134697,0,2024,,,,,46260000,3120000,2640000,34380000,,,
1/11/20,28,1994.680664,2244.676889,1,1,52,52,52,,,,,1.051439507,14.88842869,0,3522,,,,,66183049,6780232,720000,12120000,,,
1/12/20,13,2787.235699,1318.839719,,,55,56,54,,,,,0.605999453,1.94012177,0.010674157,2302,,,,,77172114,4900240,4140000,,,,
1/13/20,43,2336.324735,3069.071802,1,1,47,47,47,,,,,0.586775003,3.58282733,0.011891386,3926,89.5,89.5,89.5,,35321065,8981770,240000,39900000,,,
1/14/20,157,2552.05265,10186.99949,54,52,,,,,,,,0.800473014,21.3649025,0.012527964,14700,,,,,47739092,12532157,,21360000,,,
1/15/20,19,2230.627529,1221.262552,,,,,,,,,,0.884199623,20.05810738,0.026903553,2071,,,,,46772895,5578088,63496,32400000,,,
1/16/20,165,2744.090603,10774.00351,70,70,70.90192926,87,59,,,,,1.088486275,21.94224167,0,15852,,,,,43331368,12111360,2040000,24960000,,,
1/17/20,83,3160.601539,5645.491197,40,40,67.5,81,54,,,,,1.01527056,31.63999939,0.017697595,8619,,,,,35199162,8665058,4440000,34440000,,,
1/18/20,61,2783.05208,3426.205719,4,4,77.54155844,114,61,,,,,0.601971351,3.460502148,0,5669,,,,,65878196,12765812,1440000,4740000,,,
1/19/20,20,2528.243266,1280.573415,1,1,69.5203666,110,51,,,,,0.712097891,2.59023118,0.022256728,2377,,,,,41327378,5960147,2940000,35520000,,,
1/20/20,52,2445.436696,3671.93149,2,2,68.58685259,119,47,,,,,0.614505002,12.91657925,0.003947368,5656,,,,,62466388,8224436,2880000,9120000,,,
1/21/20,100,2066.785541,9266.168559,52,47,74.45454545,123,47,,,,,0.829704028,54.60451889,0.002364865,12071,,,,,43822638,10034545,1255266,,15300000,11880000,
1/22/20,36,2565.638811,3761.200949,1,1,75.84043779,120,54,,,,,1.920035086,27.88999939,0.009006734,3640,,,,,39665616,7834536,1020000,30120000,,,
1/23/20,143,2341.623877,9450.415686,64,64,77.27380952,113,58,,,,,0.858230163,6.283530235,0.022764228,13579,,,,,76698753,5449834,758839,,,,
1/24/20,125,2469.314647,11407.16545,55,54,75.90912795,127,54,,,,,1.032342114,29.85038757,0.007928803,12932,,,,,41826401,12530756,3780000,24060000,,,
1/25/20,113,2120.882857,92,,,58.50398406,114,47,,,,,2.653865978,20.97698021,0.001066296,8807,,,,,43684030,4090886,61075,,22860000,5940000,
1/26/20,5,2472.654891,996.2425052,,,77.85800971,110,52,,,,,1.153703164,4.488952637,0.005470085,979,,,,,55009269,4690731,1920000,24780000,,,
1/27/20,46,3091.881447,2548.280377,,,83.32678133,120,59,,,,,0.887159785,18.63968658,0.007956989,3883,,,,,36886949,10411589,3120000,35280000,,,
1/28/20,206,2812.724396,12785.50453,75,75,97.01196953,122,59,,,,,1.431495118,19.90036964,0,17869,,,,101916,43845031,14245917,209994,22440000,,,
1/29/20,60,3017.107145,6461.091821,,,85.29899135,110,52,,,,,1.074163418,22.55999947,0.024340527,5955,,,,,61826436,11457720,3120176,4980000,,,
1/30/20,119,2050.597496,9934.5581,66,62,75.16239669,135,51,,,,,1.256929142,29.05999947,0,13373,,,,,69845304,8037242,2700000,,2040000,540000,
1/31/20,221,3255.564728,12078.75892,61,61,85.88678223,122,60,,,,,0.703004897,7.865262032,0,17101,,,,,31727964,21337111,1483318,22920000,,,
2/1/20,53,2454.032822,3723.059355,21,21,66.87488415,110,57,,,,,0.959441794,18.17538071,0.023447953,5434,,,,,73626104,6043237,1920000,4200000,,,
2/2/20,49,2017.64268,3643.087625,21,21,62.75354331,115,48,,,,,0.890200166,4.700294018,0.008127123,5289,,,,,52375816,2824184,,,26340000,4860000,
2/3/20,30,1853.764999,1501.109182,,,,,,,,,,1.054552252,16.67063332,0.116174839,2741,,,,,84479894,593910,,,,,
2/4/20,171,2457.118993,11347.03782,69,68,65.3273703,118,47,,,,,1.333079983,27.64999962,0.011233108,16152,,,,,45824465,8437523,360104,,22980000,2580000,
2/5/20,21,1784.20604,1957.004055,,,69.26733781,132,47,,,,,0.519676242,3.826896429,0.004417122,2713,,,,,48588913,3611034,60053,3240000,20820000,10080000,
